Name,Year,Genre,Rating,Description
Usagi doroppu,(2011–2012),"Animation, Comedy, Drama",8.3,"Just an incredibly sweet and touching story of a man trying to raise a young child single-handedly. This anime was such a breath of fresh air to the medium, completely out of the norm and perhaps all the more enjoyable for that fact.
It features a slightly unique art style that a casual anime viewer will not be accustomed to but by the second episode you will have adjusted. It's a very short anime but exceptionally good."
Samurai X,(1996–1998),"Animation, Action, Adventure",8.5,"Everything that needs to be said about this anime has already been said and is known to pretty much every anime viewer. If you've never seen an anime then Rurouni Kenshin is a good place to start.
It's a quality all rounder, it has action, comedy, romance... there's enough there to keep everybody entertained.
It has a solid story and is well executed, the cast of characters are extremely likable. Perhaps the greatest strength of this series is that it doesn't have any glaring flaws."
Monster,(2004–2005),"Animation, Crime, Drama",8.7,"No question Monster deserves to be on this list. A real question would be, why hasn't Monster placed higher? Perhaps because this truly is a love or hate anime. While I really enjoyed it, I know a lot of people whose opinion I respect that offered well reasoned arguments for not particularly holding fondness for this anime.
I would say this is arguably the greatest thriller anime ever made, it's so tense and suspenseful in scenes. It has a brilliant story, shame that it's a slow burner and that many people drop it before it gets good. Putting some filler eps aside and the fact it takes 20+ episodes to really draw you in, don't drop this! It's definitely a worthwhile watch."
Gyakkyô burai Kaiji,(2007–2011),"Animation, Action, Thriller",8.2,"This anime has a refreshingly unique and compelling story. Without spoiling too much it's about a character that gets into debt and has to try and gamble his way out. Maybe I'm not selling it enough but I really can't say a whole lot or I'll ruin the story, it does have a very interesting concept. The worst thing about this anime is the art style, casual viewers may not be able to cope with this. For those who manage with the art there is a great story. Highly recommended to fans of Akagi and One Outs."
Mezon Ikkoku,(1986–1988),"Animation, Comedy, Drama",8.2,"Maison Ikkoku is the finest romance anime ever made, in terms of story structure, character development and emotional depth. If you look over this because it's of older animation then you really don't know what an incredible experience you've missed out on. Yes at 96 episodes it is long for the genre. However the story spans several years and this allows for real character and relationship progression.
It is one of the funniest and most charming anime I've ever seen. It managed to turn a big time action and science fiction fan like me into a believer that there is great romance series out there. This remains the finest example of a believable romance story in anime. Do not miss it.
P.S. This anime continually gets better as it progresses, the final 15 episodes of this anime are greater than any other romantic/comedy ever made. It delivers the most spectacular ending that you could possibly want in a rom/com. See this one out, enjoy the ride and I guarantee this will become a firm favourite of yours."
Vinland Saga,(2019– ),"Animation, Action, Adventure",8.8,"Vinland Saga was a breath of fresh air with its different setting, decent production values and surprising solidity. It features some good action scenes, steady build up, and adequate world building. Anyone looking for a decent action anime with a Viking theme should give this a go. While complaints can be put forth towards the MC Thorfinn none can for Askeladd who is perhaps the best anime character in the last 10 years."
Rupan sansei,(1971–1972),"Animation, Action, Adventure",7.9,"This is one of the most fun, charming and endearing series to ever grace anime. The character of Lupin is one of the most magnificent and memorable in the medium, he's a terrific hero despite the fact he's a thief. Lupin is the source that inspired such characters as Spike from Cowboy Bebop.
Lupin is the epitomy of cool that we all strive for. Good crime anime is hard to come by and this is the best as we watch the remarkable exploits of Lupin and his gang. I must also mention that greats of anime Hayao Miyazaki and Isao Takahata both worked on this series. It's not just a significant series in anime history, it's also incredibly entertaining."
Death Note: Notas da Morte,(2006–2007),"Animation, Crime, Drama",9.0,"I finally settled on where to place this anime, most of you will be wondering why so low? I can't go into elaborate details as I don't want to spoil anything for people who haven't watched this yet.
So what are Death Note's good points? It's often gripping and thrilling. However when most people remember Death Note they tend to judge it on its early stages, ignoring all the flaws throughout. Lets just say after a certain character left this series and was replaced with two mediocre characters, the show went greatly downhill. Well that's my view anyway.
However I can't deny the popularity and success of this series, the first 2/3's in my opinion are by far its best. It's a quality suspense/thriller and in my opinion worthwhile viewing. If you haven't seen it you must be living under a rock, check it out and see what the fuss is about."
Musekinin kanchô Tairâ,(1993–1996),"Animation, Adventure, Comedy",7.7,"This anime better known as Irresponsible Captain Tylor is the funniest Sci-Fi anime ever created. Lovable rogue Tylor is nothing short of a hilarious goof who stumbles through life with what must be said, a lot of incredible luck. If you're a fan of sudden girlfriend anime then look no further. 
Just watch the first episode of this, I guarantee you will be in stitches and instantly hooked. It's a series that once you start it, you have to finish it. It's 26 episodes of sheer brilliance."
Ghost in the Shell: Stand Alone Complex,(2002–2005),"Animation, Action, Crime",8.5,"This series came about due to the success of the 1995 movie Ghost In The Shell. The anime tv series deviates in feel to the original movie, it doesn't quite have the same dark tone, however it's a great watch in its own right. 
This anime has exceptional production values, a strong soundtrack but its greatest appeal is its premise. The philosophical questions it raises, ethical debates, realistic action and plausible futuristic setting make this a must see in my opinion.
Certainly not for everyone, an intelligent anime for those who appreciate that sort of show.
P.S. The Wachoswski brothers who created The Matrix movies have largely credited the 1995 Ghost In The Shell movie as their inspiration."
GTO,(1999–2000),"Animation, Comedy, Drama",8.5,"Certainly not for younger viewers. GTO is simply hilarious, silly comedy. It's aimed at older males but if you're in good form and don't take it too seriously you will wind up having a great time. It's got some great moral lessons and anyone who enjoys ridiculous antics and highly eccentric characters should give this a go, this anime does exactly what it says on the tin... it entertains. ”"
Ashita no Jô,(1970–1971),"Animation, Action, Drama",8.3,"Ashita no Joe is the perfect example of how when a simple story is told well, it can achieve greatness. On the surface it might not sound that special, a teenage orphan called Joe who is living in the slums, is convinced to take up boxing by an alcoholic ex-boxing coach. It's how it's handled that makes it special, due to the masterful touch of legendary director Osamu Dezaki, Ashita no Joe is a fantastic example of brilliant story telling and memorable characters. It's an older series and the animation might be a burden for a lot of people but it's well worth making an exception for this one and watching both seasons of it through. It's one of those anime that when you finish it, you're left with a feeling of loss, a feeling of devastation that there's no more episodes."
One Punch Man,(2015–2019),"Animation, Action, Comedy",8.7,"One of the most popular anime ever. The disinterested hero who saves the day, for some reason people go nuts for this trait. Our hero like the name suggests is so powerful he defeats every monster with a single punch. While I don't love it as much as most do, it's watchable particularly considering the small number of episodes.
The biggest charm of the series is the unusual premise and comedic elements. The biggest flaw of this series is the second season, production values dropped and the novelty and charm of the first season diminished. Recommended to those looking for an Action/Comedy that does not require a big time investment."
Code Geass: Lelouch of the Rebellion,(2006–2008),"Animation, Action, Drama",8.7,"Code Geass = quality character development, sufficient story progression, adequate animation, some interesting questions surrounding morality and some entertaining action scenes.
CG is often compared to Death Note for its ""intellectual intrigue"" however I'm not so sure how strong a case can be made for that. Comparisons between Light from DN and Lelouch from CG are justified though."
Romio no aoi sora,(1995),"Animation, Adventure, Drama",8.7,"Romeo no Aoi Sora= Another drama anime that many might find themselves sobbing at, a story about a brave boy who sells himself as a chimney sweep to pay for a doctor for his father. It's a slow paced triumph of drama, friendship, heartache, hardships and character. Few anime have heart like this. Recommended to fans of Clannad and Ie Naki Ko."
Black Lagoon,(2006),"Animation, Action, Adventure",7.9,"Simply the greatest straight up action anime ever made! There is no tricks, no fantasy elements, just great action.
Revy the main character is the most badass anime chick to ever live. She owns all the so called badass chicks of anime and most of the guys for that matter :P
Revy = A dual pistol wielding, cigar smoking, foul mouthed, whiskey drinking, cold hearted killer."
Darker Than Black: Kuro no keiyakusha,(2007–2010),"Animation, Action, Drama",7.7,"How can an anime with so many flaws make this list? There's a few anime on this list that would fall under that question, DTB is certainly one of them. Why you ask?
It's one of those anime that just dives right in and is very confusing at the beginning. Not to mention that it takes time to become emotionally invested in the characters.
However when DTB gets good, it's very good. A well directed anime with, superpowers, suspense, mystery and an interesting anti-hero character. Definitely for fans of Death Note and Code Geass."
Ranma ½,(1989),"Animation, Action, Comedy",7.9,"One of the four Rumiko Takahashi anime on this list (the other three being Maison Ikkoku, Inuyasha and Urusei Yatsura). Ranma 1/2 is probably the most fun of all of them. A ridiculous and silly concept means that this anime provides a lot of side hurting laughs during its run.
A fun cast of characters, some very memorable moments and it's arguably the most amusing anime on this list. This anime is a sure thing if you're looking for a pleasant watch."
Neon Genesis Evangelion,(1995–1996),"Animation, Action, Drama",8.5,"The anime that arguably cemented the mediums legitimacy and sky rocketed its popularity in America and most of the western world. Neon Genesis Evagelion while starting out rather simplistic quickly develops into a roller coaster ride of epic and profound proportions.
Words can't describe this anime adequately, I will simply say I can see why NGA is held in such high esteem and for the most part I think it deserves the iconic status it holds."
Seirei no moribito,(2007– ),"Animation, Action, Adventure",8.2,"Comparisons with 12 Kokuki (The Twelve Kingdoms, which features later on this list) are inevitable when it comes to this anime. Perhaps it's a little simplistic but Guardian of the Sacred Spirit remains a fantastic adventure/fantasy anime. 
Did you like Rurouni Kenshin? Did you like Claymore? Did you like any of the Studio Ghibli films? If you answered yes to any of these go watch this anime now. It's a well done character driven anime with some highly impressive action scenes."
Gangureivu,(2003–2004),"Animation, Action, Crime",7.9,"Gungrave = A fantasy version of Scarface. That pretty much captures its essence. Gungrave is made by the same creator who made Trigun... and in my opinion this anime is the better of the two. 
Trigun is hugely flawed as an anime and its only real redeemer was some great comedy and a brilliant character in Vash, perhaps where Gungrave surpasses its predecessor is in the brilliance of its ending.
While both have weak episodes I felt Trigun had more and I was bitterly disappointed with its ending.
Recommended to those who liked Trigun, this is an action packed, quality anime. Just don't drop it on a whim."
Gurren Lagann,(2007),"Animation, Action, Adventure",8.3,"TTGL damn near impossible to describe. Off the scale action, sheer absurdity. This is an anime where characters dream and reach to do the impossible, off the chart levels of epicness, realism holds no merit here. This sums it up....
""I knew a man who once said death smiles at us all, all a man can do is smile back"". 
*pats self on back for managing to work in a relevant Gladiator quote that can be applied to this anime* XD"
Claymore,(2007),"Animation, Action, Adventure",8.0,Perhaps I'm a little sexist in saying this but Kureimoa aka Claymore is more of a guys anime. It's an action/adventure/fantasy anime. Perhaps an effort was made to bring in a larger female audience by casting a female lead in Clare....... however this anime is hugely comparable to Berserk in terms of feel and hack and slash action. Berserk was probably the tad darker of the two. Either way highly recommended to fans of the action/fantasy genre.
Fullmetal Alchemist,(2003–2004),"Animation, Action, Adventure",8.5,"Oh come on..... you need some info on this? Really?
Honestly this is one of the most well known anime ever made, anybody seriously interested in anime should be checking this one out.
P.S. There's a remake called Fullmetal Alchemist Brotherhood, I've gone with this one for reasons that would take eons of time to explain."
Haibane Renmei,(2002– ),"Animation, Drama, Fantasy",8.0,"A really curious anime, it's not easy to decipher what it's actually about, I believe that it is one of those anime that encourages discussion about the meaning of life.
It does raise some really fascinating questions about death and what comes after, it's executed in a slow paced style. I'd recommend this anime to fans of Mushi-shi."
Demon Slayer: Kimetsu no Yaiba,(2019– ),"Animation, Action, Adventure",8.7,"The biggest anime hit of the last few years. We've been here before as every few years the industry churns out something that becomes so popular even people with only a passing interest in anime hear of them, indeed ""Attack on Titan"", ""Sword Art Online"", ""One Punch Man"" might be considered previous examples of the trend.
The problem with these series is that due to high expectations they often wind up disappointing.
Kimetsu is nothing groundbreaking, nothing we have not seen a thousand times before however due to the slow fleshing out of the characters and story the potential for it to be something special remain.
The story in short is about a boy setting out to fight demons in order to find a cure for his sister who has been turned. It's an all rounder with some comedy, action, adventure. It would make for a good starter anime for people new to the medium."
Serial Experiments Lain,(1998),"Animation, Drama, Horror",8.1,"Serial Experiments Lain= Let me start off with the positive aspects of the series. The music for its opening theme is nothing short of haunting, it washes over you like a lucid dream. The concept of this anime is brilliant as it aims to raise philosophical questions about our existence.
We are our mind if anything, our bodies hold us back in some respects. If could imprint yourself, your mind into the internet “The Wired” would you do it? So that’s the positive aspects.
Where Serial Experiments Lain fails sometimes is in the execution of the premise. It’s a little convoluted and as the series progresses the message deteriorates to a small degree. The concept and philosophical questions this anime tries to raise in essence the blending of man and technology, are much better realised in an anime like Ghost In The Shell: Stand Alone Complex. However this is still a decent and interesting series definitely worth checking out."
Kôkyô shihen Eureka Sebun,(2005–2006),"Animation, Adventure, Drama",7.8,"Eureka 7 = one of the better mecha anime. A satisfying blend of drama, sci-fi and romance. Certainly one those anime that falls under the genre of ""must see"", it's a solid series and you won't regret watching this."
Death Parade,(2015),"Animation, Drama, Mystery",7.9,"Death Parade was a fascinating anime in recent times. It focused on judging the true nature of people through a series of tests and games. There's no linear story really, the biggest strength of the series is the premise as most episodes are standalones. However thanks to some fine execution this anime was definitely more hit than miss. Recommended to those looking for something a bit different."
Chôjikû Yôsai Macross,(1982–1983),"Animation, Action, Adventure",8.5,"Don't let that cover art fool you, Macross was a very well animated series for its time. It's the most famous mecha series ever made, the one that pretty much defined the genre and in my opinion still does.
In my honest opinion it's every bit the equal of Mobile Suit Gundam, I enjoyed both but I've placed Macross higher because I feel it will appeal to a wider audience. I highly recommend this anime.
P.S. Be sure to watch this version and not the god awful Robotech version, honestly the dubbing and changes they made to the story was horrendous. Watch the original 1982 subtitled version."
Ôkami to kôshinryô,(2008–2009),"Animation, Adventure, Fantasy",7.9,"This is an extremely dialogue heavy anime. While certainly not for everyone because it's a story about merchant trading in medieval times, it's often a lesson on economics and for those interested in something different, this anime is worth watching.
The interactions between the characters are arguably what makes this series special, it's an adventure/fantasy/romance anime, while favourable just be prepared for a lot of dialogue."
Phantom: Requiem for the Phantom,(2009),"Animation, Action, Crime",7.6,"A solid anime, the opening episodes are very interesting. It's about a man who has the life of an assassin thrust upon him. It's very much action oriented but the story is well above average. I'd recommend this anime for big action fans or someone who wants an anime about assassins."
Uma Canção Élfica,(2004),"Animation, Action, Drama",7.9,"Elfen Lied = Extreme violence, high amounts of graphic gore, and a hot mutated chick that strolls around naked most of the time.
That may be a bit simplistic but it's not too far from the truth. Elfen Lied has become huge in the medium of anime due to its obvious effort to shock and entertain, for the most part it succeeded in doing that.
The first episode is often widely mentioned as the most violent single episode of any anime in the medium. Be sure to check this out, it's certainly not for kids though."
School Rumble,(2004–2010),"Animation, Comedy, Romance",7.8,"Ask the typical anime fan of today which comedy series is the best? The vast majority will reply School Rumble. I don't disagree with that opinion but personally anime like GTO: Great Teacher Onizuka, Ranma 1/2 and City Hunter appealed more to me.
That said School Rumble is a great comedy but is stereotypically set in a school, with stereotypical characters. The reason School Rumble excels is that the comedy is generally very good. I consider School Rumble to be perhaps the greatest outright modern comedy, better than Toradora! The only reason that it's relatively low on the list was because season 2 wasn't as great as the first."
Hajime no ippo,(2000–2002),"Animation, Action, Comedy",8.8,"Do you like boxing? If yes watch this.
Do you like the Rocky movies? If yes then watch this.
Do you like brilliant blending of action and comedy? If yes then watch this.
My only complaint is that it's a slow starter, it's a real shame that many people drop it without giving it a fair chance. It really is their loss, they can continue watching stuff like School Days."
Shôjo kakumei Utena,(1997),"Animation, Comedy, Drama",8.1,"Revolutionary Girl Utena= If you were to take it on face value RGU doesn't seem like anything that special. However it quickly becomes obvious that Utena is a once off and that it's far deeper than meets the eye. It explores themes including homosexuality, I certainly didn't expect this from what I was lead to believe was a childrens anime. To tell the truth this anime caught me off guard a number of times, particularly in later episodes. It was nothing like I expected it to be, this was actually a plus. It's a fantasy, action, drama but it's a strange one and very bold. Whether you love or hate it, this is certainly memorable."
Natsume yûjinchô,(2008– ),"Animation, Comedy, Drama",8.1,"An imitator of Mushishi. That may sound a little harsh but it's uncanny how close the basic plot and structure is to Mushishi. It's an episodic anime that deals with a male lead that can see entities that remain invisible to most people. The big difference is that Mushishi is slighly more artistic where we the viewer are asked to comtemplate various themes. Both are very good, if you enjoy one the odds are highly probable that you'll also like the other. This anime is highly recommended to fans of Mushishi."
Inuyasha,(2000–2004),"Animation, Action, Adventure",7.9,"This is another Rumiko Takahashi anime series. Funnily enough it's her most well known anime, perhaps because it's the most recent. 
Rumiko combined the elements that made brilliant anime like Maison Ikkoku (romance) and Ranma 1/2 (comedy) in Inuyasha. For the most part it worked. This is certainly a good watch despite being a little on the long side.
P.S. Be sure to watch the continuation series to this, the 26 episode anime called Inuyasha: The Final Act (You sort of have to, as the original anime was left without an ending, ""The Final Act"" finally gave closure to the series)."
12 kokuki,(2002–2003),"Animation, Adventure, Drama",8.0,"Great story, great characters, a brilliant adventure. This is an anime many have tried to imitate but most have failed. It's an action/adventure/fantasy anime that few have equaled and even fewer have surpassed.
Highly recommended to fans of the fantasy genre, if you're watching any ongoing fantasy anime or have enjoyed some recently then please consider watching this. 
The 12 Kingdoms is an immensely enjoyable journey."
Kaiba,(2008),"Animation, Adventure, Drama",8.1,"This anime puts forth fascinating philosophical questions. It's a terrific series for its plot and well fleshed out sci-fi world. It's a unique love story set in a world where it's possible to store memories in databanks and transfer those memories to new bodies. This has made death irrelevant. However Kaiba uses an animation style that will put a lot of people off, for those of you who bear through that you'll be subject to a truly unforgettable anime. Highly recommended to experienced anime fans looking for something unique."
Tenkû no Esukafurône,(1996),"Animation, Action, Adventure",7.8,"Escaflowne= This is a really well rounded anime, it has fantasy, mecha, romance and adventure. What's more it manages to do all these aspects well. The characters are well fleshed out overall and each gets enough screen time. My only complaints are with the slow early episodes and some slight issues with character design. This is a really solid anime and I wouldn't hesitate in recommending it to anyone."
Yu Yu Hakusho,(1992–1995),"Animation, Action, Adventure",8.5,"A solid all rounder anime. There's comedy, action, mystery and fantasy. It's created by the same guy who wrote Hunter x Hunter, if you need further reason as to know why you should watch this...... it beat Dragon Ball Z in ratings during its tv run.
I consider it a much better anime than DBZ and if you liked that you should definitely check out this one. Recommended highly to fans of Hunter X Hunter and Inuyasha."
Quando as Cigarras Choram,(2006),"Animation, Drama, Horror",7.9,"Many people consider it the greatest horror of all time, it's certainly among the better examples in recent years. This show will make many tremble and a lot of you will be watching scenes through your hands. It was the mystery element that interested me, I had to know what was happening and where it was going. You'll have to watch the second season also to get the full picture, that's a total of 50 episodes. It certainly had something going for it to keep me interested for that length of time. Recommended to fans of Monster and those who enjoy suspense/horror."
Durarara!!,(2010),"Animation, Action, Comedy",7.8,"Look it's Baccano! oh wait, no it's the imitator of Baccano! The similarities between the two are plenty, it shouldn't come as a surprise as both anime were made largely be the same team. They took the elements that made Baccano! a success (mystery killer, large cast of characters, extreme violence) and rehashed them for this. If you love one the odds are you'll also love the other. The only huge difference is length and setting. While it's predecessor was original and had a great ending, the same can't be said for this work. However it is a quality anime, recommended to mystery/action fans."
Kidô Senshi Gundam,(1979–1980),"Animation, Action, Drama",7.9,"Mobile Suit Gundam= Where to begin on this series? It's arguably the most successful anime franchise ever, it has spawned countless prequels, sequels, ova's, movies etc. One thing that has become apparent is that the Japanese sure do love giant fighting robots :P Overall this will be a great anime for mecha fanatics and it's certainly worthwhile viewing to watch what kick started the whole Gundam phenonium."
FLCL,(2000–2001),"Animation, Action, Comedy",8.1,"It’s probably the most unique, unorthodox anime I’ve ever watched. The first time I watched FLCL I thought “what the hell am I watching” and that’s something that will run through the minds of most first time viewers. It’s a series that is near impossible to describe, hilarious randomness probably best sums it up. For those who do watch it through it inevitably becomes one of their favourite series, my only complaint is I wish there had been more episodes."
Mirai shônen Konan,(1978),"Animation, Adventure, Comedy",8.8,"Future Boy Conan= A masterfully directed 26 episode anime by the great Hayao Miyazaki. It features all the whimsy and wonder that's present in his films, in my opinion this series surpasses most of his other work. The art is also of a very high standard in comparison to other works from this era. It's a great, wholesome adventure. It appeals to the kid in all of us, everybody can enjoy this one."
Gankutsu-ô,(2004–2005),"Animation, Drama, Mystery",8.0,"Gankutsuou= This is definitely a brilliant anime, partly due to the fact that it's loosely based on the novel (The Count of Monte Cristo). The word loosely is key, do not expect if you have read the book that this anime stays true to the source material. Anybody who goes into this expecting an anime version of the novel will be bitterly disappointed. It should be noted that this anime has an outlandish, visually stunning art style. The art style may put some off but for those who have seen a lot of anime with generic animation, the attempt to be different will be much appreciated. The suspense, betrayal and thriller aspects of this anime are outstanding. It will make you want to read the novel, which even the purists will agree is a good thing."
N.H.K ni yôkoso!,(2006),"Animation, Comedy, Drama",8.3,"Welcome To The NHK= A story about a recluse. How could an anime about a withdrawn loner who barricades himself in his apartment be so interesting? While the first half of the series makes great use of humour, the second half is extremely touching and poignant. It deals with a wide variety of mature problems in society from parental violence to suicide. Don't underestimate this anime by the comedic moments early on, it's one of the most profound and memorable anime I've ever seen."
Rittai anime ie naki ko Remi,(1977–1978),"Animation, Adventure, Drama",7.9,"Ie Naki Ko= Remi is a young boy that's sold to a traveling entertainer, he now begins his life as a slave. You know immediately as you sit down to watch this it's going to be full of hardship and sadness. This anime is brilliantly directed by the great Osamu Dezaki, he allows the classic novel this is based on to be fully realised as an anime adaptation. It's a terrific sombre journey, recommend to fans of The Rose of Versailles and Romeo no Aoi Sora."
Sureiyâzu,(1995–2009),"Animation, Action, Adventure",7.5,"Slayers= A perfect harmony of fantasy, action and comedy. Slayers is hugely enjoyable. It features loads of memorable characters, I suspect Lina will be most peoples favourite. Despite the fact this anime is from the 90's it has aged really well. One of the most fun and zany anime I've seen. What's great about this is that the second season Slayers Next doesn't disappoint, I actually think it's far better. Highly recommended to comedy/fantasy fans."
Planetes,(2003–2004),"Animation, Drama, Sci-Fi",8.2,"Do you need an anime with heart pounding action in every episode? If so Planetes is not for you. Do you like anime that aren't much more than sentimental drivel, where the show takes cheap emotional shots by having characters in anguish constantly, those anime that underestimate the intellect of the viewer and try to induce cheap tears. If so Planetes is not for you. 
If however you like anime with deep and reflective messages on life, if you like anime completely out of the norm, if you like well fleshed out characters, a solid story and some flawless voice acting... then this is the anime for you.
P.S. (The only thing holding this back from being a perfect 10/10 is the slight issues with animation and the underwhelming music).
Nonetheless certainly for experienced and adult anime viewers this is an essential watch."
Kimi ni todoke,(2009–2011),"Animation, Comedy, Drama",7.8,"It's slightly different than your regular romance story but in the end it remains a generic shy girl and hot guy fall in love tale. This anime uses the ""misunderstandings"" effect a lot, particularly in the second season (a method Maison Ikkoku had been using over 25 years earlier), that's not to say Kimi ni Todoke doesn't do it well I'm just pointing out it has been done. Highly recommended to fans of Maison Ikkoku and vice versa. It's a must for fans of slow paced, misunderstandings romance anime."
City Hunter,(1987–1991),"Animation, Action, Comedy",7.7,"A incredible cast of characters, great art for its era, a strong soundtrack but most importantly delivers brilliant comedy and roaring action, that's City Hunter in a nut shell. 
This is an absolute masterpiece of anime and its hidden gem status makes it a special anime to all of those who have watched it, it's one of those series you almost want to keep to yourself."
Ôran kôkô hosutobu,(2006),"Animation, Comedy, Romance",8.2,"A favourite of female anime viewers, Ouran High School Host Club is a silly rom/com full to the brim with pretty boys and pink frills. It's mostly an episodic comedy so there's not much in the way of a deep plot, however many people are sure to enjoy the characters and humour. Recommended to fans of Fruits Basket and Toradora!"
Re mizeraburu: shoujo kozetto,(2007– ),"Animation, Drama, Family",8.0,"Les Miserables: Shoujo Cosette= Imagine some Japanese guys got their hands on the story of Les Miserables, then imagine they decided to take that story which definitely is not for children and they decided to adapt it to make it kid friendly. That's exactly what this is, surprisingly though it's quiet good. The story is kept as close to the source as possible considering the age of the intended audience. The most fascinating thing about this adaptation is that the story revolves more around Cosette than Jean Valjean. Recommended highly to fans of Les Miserables who aren't complete purists and are open to adaptations."
Michiko to Hatchin,(2008– ),"Animation, Action, Adventure",7.5,"This anime is surprisingly good, it's definitely one of my guilty pleasure anime. Let me say this right off the bat, Michiko is one of the hottest, most kickass anime chicks ever. The story is set in Brazil and tells the tale of a sexy criminal named Michiko who escapes from prison and rescues an abused girl called Hatchin. This may not be the most thought provoking plot but it was a really solid series. It may have dragged a little in the middle but this series gives off almost a Cowboy Bebop vibe that its real strengths are the characters. It has fantastic production values, some entertaining action scenes and a good ending. Highly recommended to fans of Cowboy Bebop, Black Lagoon and Phantom: Requiem For The Phantom."
Bakemonogatari,(2009–2010),"Animation, Action, Comedy",8.0,"This is a mystery/romance/supernatural anime that involves vampires. It is genuinely a masterpiece of its genre, the only reason it's not higher is that it appeals mostly to a niche group.
It's a very unique anime with some very peculiar characters, while it may take some time to adjust, you will inevitably become hooked. This anime is guaranteed to entertain if given a fair shake."
